journey_pk,start_iso,end_iso,duration_min,distance_km,temp_c,condition,wind_kph,is_daylight
5,2026-02-27T00:01:06.773645,2026-03-02T01:26:17.007570,4405.2,14.148,2.8,clear,2.5,0
5,2026-02-27T00:01:06.773645,2026-03-02T01:26:17.007570,4405.2,14.148,0.4,mostlyClear,3.7,0
7,2026-03-02T12:09:27.641335,2026-03-12T12:51:39.253553,14442.2,1.252,,,,
8,2026-03-12T19:49:30.000164,2026-03-12T22:00:35.247937,131.1,4.805,5.0,cloudy,23.6,1
8,2026-03-12T19:49:30.000164,2026-03-12T22:00:35.247937,131.1,4.805,5.0,cloudy,23.6,1
9,2026-03-12T22:00:34.140176,2026-03-12T22:18:56.999277,18.4,2.269,4.0,cloudy,19.0,1
11,2026-03-12T23:41:17.355912,2026-03-12T23:46:12.999545,4.9,1.467,,,,
12,2026-03-13T00:55:50.284429,2026-03-13T01:09:57.000035,14.1,6.052,2.2,mostlyCloudy,8.7,0
13,2026-03-13T01:09:58.075080,2026-03-13T01:20:01.000715,10.0,2.533,,,,
16,2026-03-13T01:37:23.664987,2026-03-13T02:29:25.999291,52.0,26.387,1.7,mostlyClear,4.0,0
16,2026-03-13T01:37:23.664987,2026-03-13T02:29:25.999291,52.0,26.387,1.3,partlyCloudy,4.1,0
17,2026-03-13T03:30:03.590751,2026-03-13T03:56:36.999615,26.6,6.766,0.8,partlyCloudy,4.5,0
19,2026-03-13T04:06:00.204513,2026-03-13T17:14:48.152702,788.8,2.055,,,,
20,2026-03-13T17:14:48.416266,2026-03-13T17:38:21.000091,23.5,14.936,7.8,windy,26.3,1
20,2026-03-13T17:14:48.416266,2026-03-13T17:38:21.000091,23.5,14.936,8.7,windy,28.9,1
21,2026-03-13T17:38:35.999917,2026-03-13T18:07:33.000221,29.0,10.491,9.5,windy,30.0,1
24,2026-03-13T18:13:27.999890,2026-03-13T18:25:26.999245,12.0,5.549,,,,
28,2026-03-13T18:56:55.999405,2026-03-13T19:13:05.999371,16.2,4.413,11.9,windy,32.0,1
32,2026-03-13T20:47:18.236175,2026-03-13T20:49:27.999952,2.2,0.559,12.7,windy,34.0,1
34,2026-03-13T20:52:28.529524,2026-03-13T20:58:38.000084,6.2,1.401,,,,
35,2026-03-13T22:54:57.430407,2026-03-13T23:09:37.999903,14.7,5.220,11.6,windy,33.1,1
36,2026-03-14T02:30:21.402647,2026-03-14T02:51:56.000195,21.6,6.330,7.0,clear,23.3,0
37,2026-03-14T04:05:06.544271,2026-03-14T04:24:15.000121,19.1,9.701,5.7,windy,29.5,0
37,2026-03-14T04:05:06.544271,2026-03-14T04:24:15.000121,19.1,9.701,5.0,windy,25.7,0
43,2026-03-14T04:52:59.067880,2026-03-14T06:00:09.999513,67.2,33.129,4.1,windy,26.0,0
43,2026-03-14T04:52:59.067880,2026-03-14T06:00:09.999513,67.2,33.129,4.1,windy,25.9,0
43,2026-03-14T04:52:59.067880,2026-03-14T06:00:09.999513,67.2,33.129,3.9,windy,26.1,0
45,2026-03-14T17:54:53.022234,2026-03-14T18:21:15.999561,26.4,6.471,7.9,cloudy,14.3,1
47,2026-03-14T19:03:58.451274,2026-03-14T19:52:56.999298,49.0,12.147,8.8,cloudy,13.9,1
47,2026-03-14T19:03:58.451274,2026-03-14T19:52:56.999298,49.0,12.147,9.2,cloudy,12.8,1
49,2026-03-14T20:02:59.785597,2026-03-14T20:30:04.998781,27.1,9.227,9.2,cloudy,11.8,1
50,2026-03-14T23:07:59.088120,2026-03-14T23:30:21.000002,22.4,7.158,7.7,cloudy,5.7,1
54,2026-03-14T23:38:58.519686,2026-03-15T02:27:28.999831,168.5,16.727,6.7,cloudy,3.5,0
54,2026-03-14T23:38:58.519686,2026-03-15T02:27:28.999831,168.5,16.727,5.5,cloudy,6.0,0
56,2026-03-15T02:27:28.999831,2026-03-15T03:03:10.999856,35.7,11.459,5.1,cloudy,6.7,0
58,2026-03-15T04:45:27.908759,2026-03-15T04:55:47.999944,10.3,3.389,3.9,cloudy,11.7,0
60,2026-03-15T05:52:39.864717,2026-03-15T06:09:35.999957,16.9,6.845,,,,
62,2026-03-15T06:23:17.999777,2026-03-15T06:42:01.648732,18.7,2.233,,,,
63,2026-03-15T06:42:03.999792,2026-03-15T07:08:16.000117,26.2,10.846,3.7,cloudy,11.5,0
64,2026-03-15T07:08:17.000112,2026-03-15T07:14:03.999647,5.8,1.049,,,,
66,2026-03-15T16:05:26.000032,2026-03-15T16:51:11.997880,45.8,18.520,15.8,windy,24.2,1
